epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.39308,1.78396,4.01502,1.77779,0.00901,0.8,0.1463,0.0754,1.31408,4.53611,2.10786,2.858e-05,2.858e-05,2.858e-05
2,10.3833,1.33263,4.12883,1.58888,0.01026,0.8,0.3295,0.17127,1.47145,4.32207,2.07236,7.00353e-05,7.00353e-05,7.00353e-05
3,15.6326,1.84304,4.41354,1.91164,0.01381,1,0.60657,0.27579,1.40178,4.4086,2.01793,0.000109793,0.000109793,0.000109793
4,20.6549,1.07282,3.48963,1.24294,0.01645,1,0.71933,0.35187,1.4032,4.17086,1.99508,0.000147853,0.000147853,0.000147853
5,25.4521,1.1248,3.40045,1.30259,0.02128,1,0.82917,0.43446,1.22127,4.27001,1.83216,0.000184215,0.000184215,0.000184215
6,30.1656,1.01539,2.89042,1.32876,0.2,1,0.86167,0.51167,1.29411,4.20855,1.89272,0.00021888,0.00021888,0.00021888
7,34.9341,1.27173,2.50111,1.88361,0.66667,0.8,0.675,0.41233,1.42732,4.24931,1.90509,0.000251847,0.000251847,0.000251847
8,41.1002,0.88252,2.1923,1.23636,0.66667,0.4,0.32833,0.275,1.55689,4.52207,1.85911,0.000283116,0.000283116,0.000283116
9,46.8148,1.45043,3.54429,1.64825,0.5,0.2,0.0975,0.0975,1.63636,4.99172,1.95181,0.000312688,0.000312688,0.000312688
10,52.5477,1.02448,2.47739,1.17325,0,0,0,0,2.5845,5.49302,2.46131,0.000340562,0.000340562,0.000340562
11,58.7905,1.262,2.49864,1.41243,0,0,0,0,2.45899,5.65579,2.2703,0.000366739,0.000366739,0.000366739
12,64.6076,0.90598,2.52807,1.11263,0,0,0,0,2.58299,5.66519,2.31877,0.000391217,0.000391217,0.000391217
13,70.2515,0.7869,2.03328,1.12432,0,0,0,0,2.01898,4.61079,1.94415,0.000413998,0.000413998,0.000413998
14,75.8612,1.40571,2.28556,1.36161,1,0.8,0.795,0.48575,1.42974,3.8795,1.74915,0.000435082,0.000435082,0.000435082
15,81.2607,1.0199,1.94293,1.32422,1,0.8,0.795,0.48575,1.42974,3.8795,1.74915,0.000454468,0.000454468,0.000454468
16,86.8217,1.23513,2.54422,1.6482,0.41667,1,0.995,0.5725,1.40342,3.61802,1.91787,0.000472156,0.000472156,0.000472156
17,92.3264,1.73547,4.13366,1.6115,0.33333,1,0.995,0.6155,1.37299,3.52851,1.88593,0.000488146,0.000488146,0.000488146
18,97.6896,0.82582,1.76494,1.13127,0.33333,1,0.995,0.6155,1.37299,3.52851,1.88593,0.000502439,0.000502439,0.000502439
19,103.121,0.705,2.31753,1.07681,0.90459,0.8,0.90611,0.55619,1.46048,3.39713,1.89907,0.000515034,0.000515034,0.000515034
20,108.615,0.63836,1.60458,1.04257,0.02994,1,0.80526,0.50153,1.40837,3.53162,1.82941,0.000525932,0.000525932,0.000525932
21,114.233,0.80598,1.78087,1.08436,0.02994,1,0.80526,0.50153,1.40837,3.53162,1.82941,0.000535132,0.000535132,0.000535132
22,119.853,0.93718,1.686,1.22375,0.74283,0.4,0.73716,0.48147,1.36732,3.3804,1.80187,0.000542634,0.000542634,0.000542634
23,125.33,0.67797,1.73077,0.97169,0.74283,0.4,0.73716,0.48147,1.36732,3.3804,1.80187,0.000548439,0.000548439,0.000548439
24,131.063,0.83287,1.70074,1.14898,1,0.58143,0.88,0.5415,1.32153,3.13735,1.73191,0.000552546,0.000552546,0.000552546
25,137.031,0.62722,1.4596,1.01537,1,0.58143,0.88,0.5415,1.32153,3.13735,1.73191,0.000554955,0.000554955,0.000554955
26,143.104,1.00172,1.88203,1.19195,0.77765,0.71061,0.7775,0.51046,1.39196,2.70155,1.80354,0.000555667,0.000555667,0.000555667
27,148.958,0.97187,1.5917,1.0834,0.77765,0.71061,0.7775,0.51046,1.39196,2.70155,1.80354,0.000554681,0.000554681,0.000554681
